年月,メーカー,件数,登録台数
2024-11,トヨタ,466,128185.0
2024-11,ホンダ,582,24157.0
2024-11,マツダ,118,8875.0
2024-11,三菱,81,4954.0
2024-11,日産,317,22964.0
2024-11,輸入車,46,27398.0
2024-11,ＳＵＢＡＲＵ,13,7925.0
2024-12,スズキ,833,7986.0
2024-12,ダイハツ,311,1451.0
2024-12,トヨタ,181,98922.0
2024-12,ホンダ,429,21240.0
2024-12,マツダ,99,7049.0
2024-12,三菱,66,4013.0
2024-12,日産,222,18216.0
2024-12,輸入車,18,30863.0
2024-12,ＳＵＢＡＲＵ,2,6326.0
