DATE,PX_LAST,YLD_YTM_MYLD,YTM_BID
2019/07/31,-0.123,-0.1229,-0.0704
2019/08/01,-0.125,-0.1251,-0.0725
2019/08/02,-0.116,-0.1158,-0.0754
2019/08/05,-0.111,-0.1114,-0.0539
2019/08/06,-0.109,-0.1085,-0.0653
2019/08/07,-0.11,-0.1095,-0.0525
2019/08/08,-0.109,-0.1088,-0.0517
2019/08/09,-0.114,-0.1137,-0.0568
2019/08/13,-0.115,-0.1145,-0.0635
2019/08/14,-0.114,-0.1142,-0.0633
2019/08/15,-0.118,-0.118,-0.0749
2019/08/16,-0.126,-0.1263,-0.0737
2019/08/19,-0.134,-0.1337,-0.0812
2019/08/20,-0.137,-0.1369,-0.0843
2019/08/21,-0.137,-0.1366,-0.0856
2019/08/22,-0.14,-0.1396,-0.087
2019/08/23,-0.15,-0.15,-0.0975
2019/08/26,-0.15,-0.1495,-0.0904
2019/08/27,-0.148,-0.1483,-0.089
2019/08/28,-0.165,-0.1647,-0.1054
2019/08/29,-0.165,-0.1645,-0.1167
2019/08/30,-0.17,-0.17,-0.1108
2019/09/02,-0.16,-0.1596,-0.1004
2019/09/03,-0.161,-0.1609,-0.1015
2019/09/04,-0.163,-0.1625,-0.1054
2019/09/05,-0.164,-0.1635,-0.1061
2019/09/06,-0.17,-0.1697,-0.1128
2019/09/09,-0.176,-0.1755,-0.1182
2019/09/10,-0.176,-0.1759,-0.1233
2019/09/11,-0.178,-0.1782,-0.1273
2019/09/12,-0.176,-0.1758,-0.1233
2019/09/13,-0.156,-0.1564,-0.1038
2019/09/17,-0.138,-0.1383,-0.091
2019/09/18,-0.138,-0.1381,-0.0806
2019/09/19,-0.148,-0.1475,-0.09
2019/09/20,-0.151,-0.1514,-0.094
2019/09/24,-0.126,-0.1256,-0.0961
2019/09/25,-0.124,-0.1239,-0.0886
2019/09/26,-0.13,-0.1295,-0.0881
2019/09/27,-0.136,-0.1363,-0.0932
2019/09/30,-0.377,-0.3765,-0.3232
2019/10/01,-0.383,-0.3831,-0.3298
2019/10/02,-0.367,-0.367,-0.3245
2019/10/03,-0.362,-0.3624,-0.3197
2019/10/04,-0.36,-0.3603,-0.3177
2019/10/07,-0.366,-0.3662,-0.3221
2019/10/08,-0.365,-0.3651,-0.3141
2019/10/09,-0.364,-0.3635,-0.3109
2019/10/10,-0.361,-0.3612,-0.3087
2019/10/11,-0.355,-0.3551,-0.3026
2019/10/15,-0.29,-0.2897,-0.2497
2019/10/16,-0.281,-0.2813,-0.2413
2019/10/17,-0.279,-0.2791,-0.2389
2019/10/18,-0.25,-0.2498,-0.235
2019/10/21,-0.211,-0.2114,-0.1995
2019/10/23,-0.218,-0.2184,-0.2064
2019/10/24,-0.222,-0.2215,-0.2096
2019/10/25,-0.241,-0.2411,-0.2292
2019/10/31,-0.198,-0.1977,-0.1976
2019/11/01,-0.232,-0.2319,-0.2317
2019/11/05,-0.169,-0.169,-0.1212
2019/11/06,-0.17,-0.1697,-0.1105
2019/11/07,-0.17,-0.1702,-0.1111
2019/11/08,-0.199,-0.1991,-0.1463
2019/11/11,-0.209,-0.2092,-0.1627
2019/11/12,-0.212,-0.2118,-0.1663
2019/11/13,-0.214,-0.2139,-0.1685
2019/11/14,-0.216,-0.2155,-0.169
2019/11/15,-0.217,-0.2166,-0.1712
2019/11/18,-0.21,-0.2096,-0.1688
2019/11/19,-0.217,-0.217,-0.1578
2019/11/20,-0.22,-0.2202,-0.1724
2019/11/21,-0.235,-0.2353,-0.1827
2019/11/22,-0.245,-0.2452,-0.1943
2019/11/25,-0.21,-0.2095,-0.1954
2019/11/26,-0.213,-0.2133,-0.2023
2019/11/27,-0.213,-0.213,-0.2007
2019/11/28,-0.213,-0.2126,-0.2017
2019/11/29,-0.175,-0.1749,-0.1663
2019/12/02,-0.158,-0.1582,-0.1391
2019/12/03,-0.157,-0.157,-0.1339
2019/12/04,-0.171,-0.1705,-0.1586
2019/12/05,-0.142,-0.1422,-0.1288
2019/12/06,-0.146,-0.1464,-0.1388
2019/12/09,-0.102,-0.1018,-0.0612
2019/12/10,-0.107,-0.1069,-0.0591
2019/12/11,-0.129,-0.1291,-0.0885
2019/12/12,-0.137,-0.1373,-0.0895
2019/12/13,-0.158,-0.1582,-0.1177
2019/12/16,-0.138,-0.1379,-0.1056
2019/12/17,-0.155,-0.1551,-0.1122
2019/12/18,-0.156,-0.1563,-0.1145
2019/12/19,-0.148,-0.1479,-0.1061
2019/12/20,-0.146,-0.1463,-0.1104
2019/12/23,-0.109,-0.1089,-0.0992
2019/12/24,-0.108,-0.1077,-0.093
2019/12/25,-0.108,-0.108,-0.0979
2019/12/26,-0.108,-0.108,-0.0945
2019/12/27,-0.109,-0.1092,-0.0979
2019/12/30,-0.11,-0.1101,-0.0988
2020/01/06,-0.108,-0.1076,-0.0928
2020/01/07,-0.102,-0.1019,-0.0871
2020/01/08,-0.111,-0.1112,-0.087
2020/01/09,-0.119,-0.1187,-0.0769
2020/01/10,-0.132,-0.132,-0.0958
2020/01/14,-0.12,-0.1202,-0.0802
2020/01/15,-0.123,-0.1231,-0.0872
2020/01/16,-0.123,-0.1232,-0.0816
2020/01/17,-0.126,-0.1263,-0.085
2020/01/20,-0.121,-0.1211,-0.0816
2020/01/21,-0.127,-0.1274,-0.0807
2020/01/22,-0.128,-0.1283,-0.0888
2020/01/23,-0.129,-0.1285,-0.0819
2020/01/24,-0.126,-0.126,-0.0796
2020/01/27,-0.111,-0.1109,-0.0765
2020/01/28,-0.125,-0.1252,-0.0888
2020/01/29,-0.133,-0.1327,-0.0964
2020/01/30,-0.132,-0.1319,-0.1007
2020/01/31,-0.134,-0.1344,-0.1032
2020/02/03,-0.139,-0.1386,-0.1027
2020/02/04,-0.147,-0.1468,-0.1052
2020/02/05,-0.143,-0.1434,-0.1072
2020/02/06,-0.144,-0.144,-0.1078
2020/02/07,-0.146,-0.146,-0.1097
2020/02/10,-0.138,-0.1375,-0.1062
2020/02/12,-0.143,-0.1432,-0.107
2020/02/13,-0.14,-0.1403,-0.1041
2020/02/14,-0.136,-0.1359,-0.0997
2020/02/17,-0.122,-0.1219,-0.0824
2020/02/18,-0.127,-0.1269,-0.0857
2020/02/19,-0.128,-0.128,-0.092
2020/02/20,-0.129,-0.1287,-0.087
2020/02/21,-0.136,-0.1362,-0.0946
2020/02/25,-0.134,-0.1344,-0.1009
2020/02/26,-0.141,-0.1408,-0.1072
2020/02/27,-0.144,-0.1436,-0.1074
2020/02/28,-0.172,-0.172,-0.1408
2020/03/02,-0.189,-0.189,-0.1532
2020/03/03,-0.195,-0.1951,-0.1534
2020/03/04,-0.196,-0.196,-0.1494
2020/03/05,-0.197,-0.1966,-0.155
2020/03/06,-0.29,-0.2899,-0.2587
2020/03/09,-0.336,-0.3363,-0.3043
2020/03/10,-0.331,-0.3312,-0.2914
2020/03/11,-0.319,-0.3192,-0.2873
2020/03/12,-0.31,-0.3097,-0.2778
2020/03/13,-0.286,-0.2855,-0.2588
2020/03/16,-0.293,-0.2925,-0.2671
2020/03/17,-0.315,-0.3146,-0.2809
2020/03/18,-0.279,-0.279,-0.2429
2020/03/19,-0.296,-0.2959,-0.27
2020/03/23,-0.391,-0.3906,-0.3494
2020/03/24,-0.396,-0.3958,-0.3547
2020/03/25,-0.387,-0.3871,-0.3459
2020/03/26,-0.37,-0.3696,-0.3284
2020/03/27,-0.298,-0.2979,-0.2629
2020/03/30,-0.227,-0.2268,-0.1949
2020/03/31,-0.301,-0.3011,-0.2555
2020/04/01,-0.219,-0.2193,-0.2089
2020/04/02,-0.206,-0.2057,-0.194
2020/04/03,-0.174,-0.1738,-0.1644
2020/04/06,-0.143,-0.1433,-0.1173
2020/04/07,-0.149,-0.1493,-0.1046
2020/04/08,-0.158,-0.1578,-0.1172
2020/04/09,-0.165,-0.1647,-0.124
2020/04/10,-0.163,-0.1629,-0.1213
2020/04/13,-0.137,-0.137,-0.1034
2020/04/14,-0.143,-0.1432,-0.0973
2020/04/15,-0.15,-0.1497,-0.1091
2020/04/16,-0.156,-0.1558,-0.1152
2020/04/17,-0.157,-0.1566,-0.1161
2020/04/20,-0.146,-0.1458,-0.1138
